Dimension,Runtime,resident_set_size,real_time,user_time,sys_time
0,0.015,3656,2,2,0
4,0.061,3656,5,5,0
8,0.129,3656,6,6,0
16,0.496,3656,8,6,2
32,2.864,3656,12,10,2
64,14.462,3656,20,19,1
128,71.654,4096,79,75,4
256,255.624,6624,268,262,6
512,2143.57,17416,2191,2161,9
1024,22052.4,60560,22108,22084,22
2048,201481,233016,201766,201465,132
