Dimension,Runtime,resident_set_size,real_time,user_time,sys_time
0,0.041,3656,6,6,0
4,0.088,3656,5,5,0
8,0.189,3656,5,4,1
16,0.673,3656,7,5,2
32,3.429,3656,9,5,4
64,17.645,3656,21,17,4
128,70.682,4008,78,77,1
256,400.48,7152,414,404,8
512,3243.91,19652,3820,3243,16
1024,27808,68632,27889,27808,44
2048,225986,265524,226263,225939,160
