Dimension,Runtime,resident_set_size,real_time,user_time,sys_time
2,0.062,3636,5,5,0
4,0.346,3636,6,5,1
8,229.973,3636,237,235,2
10,30248.8,3636,30268,30258,78
11,333594,3636,334321,333472,128
