Dimension,Runtime,resident_set_size,real_time,user_time,sys_time
2,0.164,3636,6,6,0
4,0.641,3636,8,6,1
8,1.307,3636,8,6,1
16,4.333,3636,11,10,1
32,10.096,3636,19,14,5
64,31.413,3648,38,29,8
128,70.163,4288,77,69,8
256,274.865,7584,279,279,0
512,2038.82,20484,2052,2035,16
1024,22045.8,72112,22076,22019,56
2048,243435,277672,244213,243219,327
