Dimension,Runtime,resident_set_size,real_time,user_time,sys_time
8,3.227,3652,9,7,1
16,19.0256,3652,18,16,2
32,195.715,3652,66,62,4
64,3251.01,5568,515,506,8
128,104037,21100,8137,8076,60
256,4220000,140412,4019287,4014965,4322
