Dimension,Runtime,resident_set_size,real_time,user_time,sys_time
2,0.172,3656,7,6,0
4,0.589,3656,7,6,0
8,1.652,3656,7,7,0
16,4.639,3656,10,7,3
32,11.64,3656,18,13,5
64,12.095,3656,15,14,1
128,72.979,4300,80,76,4
256,296.02,8132,307,290,16
512,2007.31,23224,2020,1952,68
1024,16976.4,83188,17012,16288,716
2048,128464,321768,128630,123525,5064
