Dimension,Runtime,resident_set_size,real_time,user_time,sys_time
32,2.066,3660,8,7,1
64,19.425,3660,28,22,5
128,95.803,4876,106,103,2
256,355.027,10088,376,346,24
512,3173.87,31004,3234,3114,113
1024,26109.3,113384,26249,25418,824
2048,218259,442132,219693,211353,7156
4096,,,,,
