Dimension,Runtime,resident_set_size,real_time,user_time,sys_time
32,1.613,3652,8,2,5
64,16.076,3652,23,17,6
128,54.316,3972,64,63,1
256,251.21,5816,261,256,4
512,2542.78,13320,2582,2573,8
1024,27441.6,44192,27495,27478,16
2048,283914,167148,284385,283741,372
4096,,,2423143,2420439,1510
